,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
4,9791191859379,인생의 역사,에세이,신형철,9.7 ,"16,200원",2022-10-31
5,8809477871913,멜로디 봉봉 : 크리스마스 캐럴,유아,김영아,9.2 ,"9,300원",2022-11-01
6,9791167070791,인생의 허무를 어떻게 할 것인가,인문학,김영민,8.5 ,"14,400원",2022-10-31
7,9791161571379,불편한 편의점 2 (단풍 에디션),소설/시/희곡,김호연,9.2 ,"12,600원",2022-08-10
8,9791164064748,이상한 과자 가게 전천당 16,어린이,히로시마 레이코,9.9 ,"11,700원",2022-11-25
9,9791168414471,흔한남매 12,어린이,흔한남매,9.8 ,"13,050원",2022-11-30
10,9791170522119,한계선을 넘다,예술/대중문화,크래프톤,9.8 ,"31,500원",2022-11-11
11,9791138434911,야쿠자의 덕질 2,만화,야츠다 테키,9.6 ,"5,400원",2022-12-07
12,9788954699914,하얼빈,소설/시/희곡,김훈,8.6 ,"14,400원",2022-08-03
13,9791192625300,이은경쌤의 초등어휘일력 365 (스프링),좋은부모,이은경,9.7 ,"16,920원",2022-10-28
14,9791161571188,불편한 편의점 (벚꽃 에디션),소설/시/희곡,김호연,8.4 ,"12,600원",2021-04-20
15,9788949162485,랑랑 형제 떡집,어린이,김리리,9.6 ,"9,900원",2022-10-26
16,9788901260716,역행자,자기계발,자청,7.4 ,"15,750원",2022-06-03
17,9788936438869,아주 오랜만에 행복하다는 느낌,에세이,백수린,9.7 ,"12,600원",2022-10-14
18,9791192300245,마흔에 읽는 니체,인문학,장재형,9.1 ,"14,400원",2022-09-01
19,9788934946793,흔한남매 과학 탐험대 6 : 물리 2,어린이,흔한남매,10.0 ,"12,600원",2022-11-22
20,9788936479190,나의 문화유산답사기 11 : 서울편 3,인문학,유홍준,9.6 ,"19,800원",2022-10-25
2022년12월,,,,,,,
1,9791190538510,만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),인문학,김혜남,9.4 ,"15,480원",2022-11-11
2,9788936438838,아버지의 해방일지,소설/시/희곡,정지아,9.4 ,"13,500원",2022-09-02
3,9791130689890,내가 틀릴 수도 있습니다 (리커버),인문학,비욘 나티코 린데블라드,9.1 ,"14,400원",2022-04-18
4,9791168414471,흔한남매 12,어린이,흔한남매,9.8 ,"13,050원",2022-11-30
5,9788959897094,트렌드 코리아 2023,경제경영,김난도,8.1 ,"17,100원",2022-10-05
6,K522830559,주술회전 21 (초판한정 스페셜 일러스트 카드 + 선착순 한정 후시구로 메구미 포토 카드 포함 특장판),만화,아쿠타미 게게,9.8 ,"5,400원",2022-12-30
7,9791169472807,스파이 패밀리 10,만화,엔도 타츠야,9.8 ,"5,400원",2022-12-20
8,9791191043297,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",소설/시/희곡,이치조 미사키,8.4 ,"12,600원",2021-06-21
9,9791161571379,불편한 편의점 2 (단풍 에디션),소설/시/희곡,김호연,9.2 ,"12,600원",2022-08-10
10,9791136760951,명탐정 코난 102,만화,아오야마 고쇼,9.1 ,"5,400원",2022-12-22
11,9791161571188,불편한 편의점 (벚꽃 에디션),소설/시/희곡,김호연,8.4 ,"12,600원",2021-04-20
12,9791191859379,인생의 역사,에세이,신형철,9.7 ,"16,200원",2022-10-31
13,9791190382502,모든 것은 기본에서 시작한다,에세이,손웅정,9.4 ,"14,400원",2021-10-15
14,9788960499751,거의 모든 일상 표현의 영어,외국어,케빈 강,9.6 ,"15,300원",2022-11-01
15,9791136760937,명탐정 코난 : 제로의 일상 6,만화,아라이 타카히로,9.9 ,"5,400원",2022-12-22
16,9788936438890,크리스마스 타일,소설/시/희곡,김금희,9.3 ,"13,500원",2022-11-25
17,9791139708967,사람을 얻는 지혜 (국내 최초 스페인어 완역본),자기계발,발타자르 그라시안,9.5 ,"10,800원",2022-10-28
18,9788997780518,조국의 법고전 산책,인문학,조국,9.6 ,"19,800원",2022-11-09
19,9791192107769,"밥 챙겨 먹어요, 행복하세요",요리/살림,마포농수산쎈타,9.8 ,"17,820원",2022-11-30
20,9788954699914,하얼빈,소설/시/희곡,김훈,8.6 ,"14,400원",2022-08-03
2023년1월,,,,,,,
1,9791168473690,세이노의 가르침,자기계발,세이노(SayNo),8.6 ,"6,480원",2023-03-02
2,9791169794930,슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE,만화,이노우에 타케히코,9.5 ,"18,000원",2023-02-16
3,9791169792974,슬램덩크 챔프,만화,이노우에 타케히코,9.4 ,"13,500원",2023-01-06
4,9791190382915,생에 감사해,에세이,김혜자,9.7 ,"15,300원",2022-12-22
5,9791130696393,스카이 버스,좋은부모,분당강쌤,9.6 ,"16,200원",2023-01-03
6,9791133487516,슬램덩크 신장재편판 1,만화,이노우에 타케히코,9.8 ,"6,300원",2018-08-23
7,9788936438838,아버지의 해방일지,소설/시/희곡,정지아,9.4 ,"13,500원",2022-09-02
8,9791133487523,슬램덩크 신장재편판 2,만화,이노우에 타케히코,9.2 ,"5,850원",2018-08-22
9,9791133487707,슬램덩크 신장재편판 20,만화,이노우에 타케히코,9.3 ,"6,300원",2018-11-14
10,9791133487691,슬램덩크 신장재편판 19,만화,이노우에 타케히코,10.0 ,"6,300원",2018-11-14
11,9791133487530,슬램덩크 신장재편판 3,만화,이노우에 타케히코,10.0 ,"6,300원",2018-08-22
12,9791133487547,슬램덩크 신장재편판 4,만화,이노우에 타케히코,9.4 ,"6,300원",2018-08-22
13,9791133487554,슬램덩크 신장재편판 5,만화,이노우에 타케히코,10.0 ,"6,300원",2018-08-22
14,9791133487677,슬램덩크 신장재편판 17,만화,이노우에 타케히코,10.0 ,"6,300원",2018-11-14
15,9791133487684,슬램덩크 신장재편판 18,만화,이노우에 타케히코,10.0 ,"5,850원",2018-11-14
16,9791133487660,슬램덩크 신장재편판 16,만화,이노우에 타케히코,10.0 ,"6,300원",2018-11-14
17,9791133487561,슬램덩크 신장재편판 6,만화,이노우에 타케히코,9.8 ,"6,300원",2018-08-22
18,9791190538510,만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),인문학,김혜남,9.4 ,"15,480원",2022-11-11
19,9791133487653,슬램덩크 신장재편판 15,만화,이노우에 타케히코,10.0 ,"6,750원",2018-11-14
20,9791133487578,슬램덩크 신장재편판 7,만화,이노우에 타케히코,9.6 ,"6,750원",2018-09-18
2023년2월,,,,,,,
1,9791168473690,세이노의 가르침,자기계발,세이노(SayNo),8.6 ,"6,480원",2023-03-02
2,9791169794930,슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE,만화,이노우에 타케히코,9.5 ,"18,000원",2023-02-16
3,9791198013026,김미경의 마흔 수업,자기계발,김미경,9.4 ,"16,200원",2023-02-15
4,9791133487523,슬램덩크 신장재편판 2,만화,이노우에 타케히코,9.2 ,"5,850원",2018-08-22
5,9791133487516,슬램덩크 신장재편판 1,만화,이노우에 타케히코,9.8 ,"6,300원",2018-08-23
6,9791133487530,슬램덩크 신장재편판 3,만화,이노우에 타케히코,10.0 ,"6,300원",2018-08-22
7,9791197389450,사이토 히토리의 1퍼센트 부자의 법칙,자기계발,사이토 히토리,8.9 ,"15,300원",2023-01-30
8,9791133487554,슬램덩크 신장재편판 5,만화,이노우에 타케히코,10.0 ,"6,300원",2018-08-22
9,9791133487707,슬램덩크 신장재편판 20,만화,이노우에 타케히코,9.3 ,"6,300원",2018-11-14
10,9791133487547,슬램덩크 신장재편판 4,만화,이노우에 타케히코,9.4 ,"6,300원",2018-08-22
11,9791133487561,슬램덩크 신장재편판 6,만화,이노우에 타케히코,9.8 ,"6,300원",2018-08-22
12,9791133487691,슬램덩크 신장재편판 19,만화,이노우에 타케히코,10.0 ,"6,300원",2018-11-14
13,9791133487578,슬램덩크 신장재편판 7,만화,이노우에 타케히코,9.6 ,"6,750원",2018-09-18
14,9791133487684,슬램덩크 신장재편판 18,만화,이노우에 타케히코,10.0 ,"5,850원",2018-11-14
15,9791133487660,슬램덩크 신장재편판 16,만화,이노우에 타케히코,10.0 ,"6,300원",2018-11-14
16,9791133487677,슬램덩크 신장재편판 17,만화,이노우에 타케히코,10.0 ,"6,300원",2018-11-14
17,9791133487592,슬램덩크 신장재편판 9,만화,이노우에 타케히코,10.0 ,"6,750원",2018-09-18
18,9791133487585,슬램덩크 신장재편판 8,만화,이노우에 타케히코,10.0 ,"6,750원",2018-09-18
19,9791133487608,슬램덩크 신장재편판 10,만화,이노우에 타케히코,10.0 ,"6,300원",2018-09-18
20,9791133487653,슬램덩크 신장재편판 15,만화,이노우에 타케히코,10.0 ,"6,750원",2018-11-14
2023년3월,,,,,,,
1,9791168473690,세이노의 가르침,자기계발,세이노(SayNo),8.6 ,"6,480원",2023-03-02
2,8809264180921,우리 아기 오감발달 동물농장 사운드북,유아,샘 태플린,9.7 ,"15,200원",2018-04-11
3,9791198013026,김미경의 마흔 수업,자기계발,김미경,9.4 ,"16,200원",2023-02-15
4,9791169791977,스즈메의 문단속,소설/시/희곡,신카이 마코토,7.9 ,"11,700원",2023-01-13
5,8809264181515,클래식 뮤지컬 차이콥스키의 발레곡 호두까기 인형 사운드북,유아,피오나 와트,9.7 ,"15,200원",2020-11-05
6,K602832309,나의 히어로 아카데미아 37 (한정판),만화,호리코시 코헤이,10.0 ,"5,400원",2023-03-31
7,9791188331888,사장학개론,경제경영,김승호,8.9 ,"22,500원",2023-04-19
8,9791168340855,내면소통,인문학,김주환,9.0 ,"29,700원",2023-02-27
9,9788950960667,"살 때, 팔 때, 벌 때",경제경영,강영현,8.5 ,"19,800원",2023-03-02
10,9791197389450,사이토 히토리의 1퍼센트 부자의 법칙,자기계발,사이토 히토리,8.9 ,"15,300원",2023-01-30
11,8809264181478,키득키득 사운드북 : 동물 오케스트라,유아,샘 태플린,9.8 ,"11,040원",2020-02-25
12,9791130697529,거인의 노트,자기계발,김익한,9.5 ,"16,200원",2023-03-08
13,9788936448370,고양이 해결사 깜냥 5,어린이,홍민정,10.0 ,"9,900원",2023-02-22
14,9791188754588,브라질에 비가 내리면 스타벅스 주식을 사라,경제경영,피터 나바로,8.3 ,"16,200원",2022-04-25
15,9791169794930,슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE,만화,이노우에 타케히코,9.5 ,"18,000원",2023-02-16
16,9791130642116,조셉 머피 잠재의식의 힘,자기계발,조셉 머피,8.9 ,"17,100원",2023-02-22
17,9791164065097,이상한 과자 가게 전천당 17,어린이,히로시마 레이코,10.0 ,"11,700원",2023-03-20
18,9791191521221,K 배터리 레볼루션,경제경영,박순혁,9.6 ,"17,100원",2023-02-20
19,9788917238549,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),외국어,ETS,9.7 ,"16,020원",2021-12-13
20,8809264180679,우리 아기 오감발달 시끌벅적 정글 사운드북,유아,샘 태플린,7.7 ,"15,200원",2017-03-08
2023년4월,,,,,,,
1,9791168473690,세이노의 가르침,자기계발,세이노(SayNo),8.6 ,"6,480원",2023-03-02
2,9788954691741,2023 제14회 젊은작가상 수상작품집,소설/시/희곡,이미상,7.8 ,"6,930원",2023-04-05
3,9788960519794,장하준의 경제학 레시피,경제경영,장하준,8.9 ,"16,200원",2023-03-30
4,9788970128337,달리기를 말할 때 내가 하고 싶은 이야기 (리커버 한정판),에세이,무라카미 하루키,9.1 ,"13,050원",2023-03-30
5,9791188331888,사장학개론,경제경영,김승호,8.9 ,"22,500원",2023-04-19
6,9791169791977,스즈메의 문단속,소설/시/희곡,신카이 마코토,7.9 ,"11,700원",2023-01-13
7,9791168415232,흔한남매 13,어린이,흔한남매,10.0 ,"13,050원",2023-04-25
8,9791136766236,도쿄 에일리언즈 6,만화,NAOE,10.0 ,"5,400원",2023-04-28
9,9791198013026,김미경의 마흔 수업,자기계발,김미경,9.4 ,"16,200원",2023-02-15
10,9788934965909,더 좋은 삶을 위한 철학,인문학,마이클 슈어,9.3 ,"16,200원",2023-02-24
11,9788934965909,더 좋은 삶을 위한 철학,인문학,마이클 슈어,9.3 ,"16,200원",2023-02-24
12,9791168340855,내면소통,인문학,김주환,9.0 ,"29,700원",2023-02-27
13,9791159098444,던전앤파이터 진각성 아트북 세트 - 전2권,예술/대중문화,(주)네오플,6.4 ,"76,500원",2023-04-13
14,9791166831515,영어 필사 100일의 기적,외국어,퍼포먼스 코치 리아,9.1 ,"13,500원",2021-11-10
15,9791169798617,봇치·더·록! 5,만화,하마지 아키,10.0 ,"7,200원",2023-05-10
16,9791190299770,모든 삶은 흐른다,인문학,로랑스 드빌레르,8.6 ,"15,120원",2023-04-03
17,9791130697529,거인의 노트,자기계발,김익한,9.5 ,"16,200원",2023-03-08
18,9791191521221,K 배터리 레볼루션,경제경영,박순혁,9.6 ,"17,100원",2023-02-20
19,9791169850179,아주 세속적인 지혜,자기계발,발타자르 그라시안,9.6 ,"12,150원",2023-03-24
20,9788986836882,음악으로 자유로워지다,예술/대중문화,류이치 사카모토 (Ryuichi Sakamoto),9.9 ,"16,200원",2023-04-03
2023년5월,,,,,,,
1,9791168473690,세이노의 가르침,자기계발,세이노(SayNo),8.6 ,"6,480원",2023-03-02
2,K132833063,주술회전 22 (초판한정 스페셜 일러스트 카드 + 선착순 한정 옷코츠 유타 포토 카드 포함 특장판),만화,아쿠타미 게게,10.0 ,"5,400원",2023-05-31
3,9788954692991,여학교의 별 3,만화,와야마 야마,9.7 ,"7,650원",2023-05-25
4,9791167740984,도둑맞은 집중력,인문학,요한 하리,9.5 ,"16,920원",2023-04-28
5,9788954692526,각각의 계절,소설/시/희곡,권여선,9.7 ,"13,500원",2023-05-07
6,9791170620563,최애의 아이 10,만화,아카사카 아카,9.9 ,"5,400원",2023-05-30
7,9791190299770,모든 삶은 흐른다,인문학,로랑스 드빌레르,8.6 ,"15,120원",2023-04-03
8,9791188331888,사장학개론,경제경영,김승호,8.9 ,"22,500원",2023-04-19
9,9791168415232,흔한남매 13,어린이,흔한남매,10.0 ,"13,050원",2023-04-25
10,9791170620228,원피스 105,만화,오다 에이치로,8.7 ,"4,950원",2023-05-30
11,9791166891496,하늘과 바람과 별과 인간,과학,김상욱,8.6 ,"16,020원",2023-05-26
12,9791165347161,나의 돈 많은 고등학교 친구,자기계발,송희구,9.1 ,"16,200원",2023-04-28
13,9791167140609,내가 가진 것을 세상이 원하게 하라,자기계발,최인아,9.5 ,"15,750원",2023-04-19
14,9791166831515,영어 필사 100일의 기적,외국어,퍼포먼스 코치 리아,9.1 ,"13,500원",2021-11-10
15,9788901271323,태양 왕 수바: 수박의 전설,유아,이지은,9.7 ,"15,120원",2023-05-15
16,9788954691741,2023 제14회 젊은작가상 수상작품집,소설/시/희곡,이미상,7.8 ,"6,930원",2023-04-05
17,9788936438838,아버지의 해방일지,소설/시/희곡,정지아,9.4 ,"13,500원",2022-09-02
18,9791138478366,내세에는 남남이 좋겠어 7,만화,코니시 아스카,10.0 ,"5,400원",2023-05-18
19,9788965965046,도파민네이션,인문학,애나 렘키,8.9 ,"16,200원",2022-03-21
20,9788960519794,장하준의 경제학 레시피,경제경영,장하준,8.9 ,"16,200원",2023-03-30
2023년6월,,,,,,,
1,9791198320902,BEYOND THE STORY 비욘드 더 스토리,예술/대중문화,강명석,10.0 ,"31,500원",2023-07-09
2,9791192836188,문과 남자의 과학 공부,인문학,유시민,9.5 ,"15,750원",2023-06-23
3,9791168473690,세이노의 가르침,자기계발,세이노(SayNo),8.6 ,"6,480원",2023-03-02
4,9791167740984,도둑맞은 집중력,인문학,요한 하리,9.5 ,"16,920원",2023-04-28
5,9788901272580,역행자 확장판,자기계발,자청,7.8 ,"17,550원",2023-05-29
6,9788932474892,유현준의 인문 건축 기행,인문학,유현준,9.8 ,"17,550원",2023-05-30
7,9791141109318,블루 아카이브 오피셜 아트웍스 (한정판),만화,신민섭,10.0 ,"88,200원",2023-08-25
8,9791140472017,만화 데뷔 못 하면 죽는 병 걸림 1 (한정판),만화,소흔,7.2 ,"44,100원",2023-08-25
9,9791141109325,블루 아카이브 오피셜 아트웍스,만화,신민섭,10.0 ,"38,700원",2023-08-25
10,9791136769367,명탐정 코난 103,만화,아오야마 고쇼,10.0 ,"5,400원",2023-06-19
11,9788954699372,눈부신 안부,소설/시/희곡,백수린,9.7 ,"14,400원",2023-05-24
12,9791192389073,유연함의 힘,자기계발,수잔 애쉬포드,0.0 ,"19,800원",2023-05-10
13,K102833012,지박소년 하나코 군 19 (특장판),만화,아이다이로,8.9 ,"5,400원",2023-06-30
14,9791166891496,하늘과 바람과 별과 인간,과학,김상욱,8.6 ,"16,020원",2023-05-26
15,9791192625508,마음의 지혜,인문학,김경일,10.0 ,"16,920원",2023-05-17
16,9788954693370,이걸 내 마음이라고 하자,소설/시/희곡,황인찬,10.0 ,"10,800원",2023-06-15
17,9791130698199,맡겨진 소녀,소설/시/희곡,클레어 키건,9.4 ,"11,700원",2023-04-26
18,9791188331888,사장학개론,경제경영,김승호,8.9 ,"22,500원",2023-04-19
19,9791190299770,모든 삶은 흐른다,인문학,로랑스 드빌레르,8.6 ,"15,120원",2023-04-03
20,9788954693509,최선을 다하면 죽는다,에세이,황선우,9.2 ,"13,500원",2023-06-07
