,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
8,791168414921 ,흔한남매 수수께끼 어드벤처 2,국내도서,"흔한남매(원작),노지영(글)",/,"12,600원",2023년 02월 02일
9,791169791526 ,원피스 104 - 와노쿠니 쇼군 코즈키 모모노스케,국내도서,"오다에이치로(원작),코지쇼헤이",/,"4,950원",2023년 02월 06일
10,791169794930 ,슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE,국내도서,이노우에 타케히코,/,"18,000원",2023년 02월 16일
11,791168414822 ,흔한남매의 흔한 호기심 8,국내도서,"흔한남매,안치현",/,"12,600원",2023년 01월 19일
12,791190538510 ,만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),국내도서,김혜남,/,"15,480원",2022년 11월 11일
13,788901260716 ,역행자,국내도서,자청,/,"15,750원",2022년 05월 30일
14,791190382915 ,생에 감사해,국내도서,김혜자,/,"15,300원",2022년 12월 22일
15,791169792974 ,슬램덩크 챔프,국내도서,이노우에타케히코,/,"13,500원",2023년 01월 06일
16,791168414471 ,흔한남매 12,국내도서,"흔한남매,백난도",/,"13,050원",2022년 11월 30일
17,791191043754 ,세상의 마지막 기차역-리커버 에디션,국내도서,무라세다케시,/,"12,600원",2022년 05월 11일
18,791169791977 ,스즈메의 문단속,국내도서,신카이 마코토,/,"11,700원",2023년 01월 13일
19,791198013026 ,김미경의 마흔 수업(이미 늦었다고 생각하는 당신을 위한),국내도서,김미경,/,"16,200원",2023년 02월 15일
20,788978496629 ,초역 니체의 말(3판),국내도서,"프리드리히 니체,시라토리 하루히코",/,"14,220원",2022년 08월 29일
2023년 3월,,,,,,,
1,791169791977 ,스즈메의 문단속,국내도서,신카이 마코토,/,"11,700원",2023년 01월 13일
2,791168473690 ,세이노의 가르침,국내도서,세이노(SayNo),/,"6,480원",2023년 03월 02일
3,791197647666 ,기분이 태도가 되지 말자,국내도서,김수현,/,"14,400원",2022년 11월 25일
4,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일
5,788997575169 ,원씽(THE ONE THING)(리커버 특별판),국내도서,"게리켈러,제이파파산",/,"12,600원",2017년 10월 25일
6,791198013026 ,김미경의 마흔 수업(이미 늦었다고 생각하는 당신을 위한),국내도서,김미경,/,"16,200원",2023년 02월 15일
7,791191043754 ,세상의 마지막 기차역-리커버 에디션,국내도서,무라세다케시,/,"12,600원",2022년 05월 11일
