,교보문고,2022.07~2023.05,임규찬,,,,,,,YES24,2022.07~2022.06,구영인,,,,,,,영풍문고,2022.07~2023.06,우종연,,,,,,,알라딘,2022.07~2023.06,진수영,,,,
,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
2022년07월,,,,,,,,,2022년7월,,,,,,,,,2022년 7월,,,,,,,,,2022년7월,,,,,,,
12,9788972773641 ,호감 가는 말투에는 비밀이 있다,자기계발,장신웨,9.7,"15,120원",2022년08월11일,,12,9791168340510 ,파친코 1,소설/시/희곡,이민진,9.6,"14,220원",2022년 07월 27일,,12,791158883591 ,부자아빠 가난한 아빠 1(20주년 특별 기념판),국내도서,로버트기요사키,/,"15,300원",2018년 02월 22일,,12,9788917238549 ,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),외국어,ETS,9.7,"16,020원",2021-12-13
13,9791197377143 ,"어서 오세요, 휴남동 서점입니다",소설,황보름,9.7,"13,500원",2022년01월17일,,13,9788965137702 ,유럽 도시 기행 2,역사,유시민,9.6,"15,750원",2022년 07월 09일,,13,791168412248 ,흔한남매 이상한 나라의 고전 읽기 1 - 춘향전 토끼전 옹고집전,국내도서,"흔한남매(원작),최재훈",/,"12,600원",2022년 06월 28일,,13,9791136738592 ,명탐정 코난 101,만화,아오야마 고쇼,9.7,"4,950원",2022-08-25
14,9788997575169 ,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일,,14,9791191043754 ,세상의 마지막 기차역,소설/시/희곡,무라세 다케시,9.6,"12,600원",2022년 05월 11일,,14,791168412279 ,에그박사 7,국내도서,"에그박사,박송이",/,"13,050원",2022년 06월 15일,,14,9788917238532 ,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),외국어,ETS,7.5,"16,020원",2021-12-13
15,9791162540633 ,그릿(50만부 판매 기념 리커버 골드에디션),자기계발,앤절라 더크워스,9.6,"16,200원",2022년12월19일,,15,9791190977661 ,[예스리커버] 인플레이션에서 살아남기,경제 경영,오건영,9.6,"16,920원",2022년 05월 23일,,15,791191114225 ,작별인사,국내도서,김영하,/,"12,600원",2022년 05월 02일,,15,9791160408331 ,트로피컬 나이트,소설/시/희곡,조예은,9.2,"13,500원",2022-08-17
16,9791191347975 ,우리는 어디서 살아야 하는가,경제/경영,김시덕,9.4,"16,200원",2022년07월20일,,16,9791168412279 ,에그박사 7 ,어린이,에그박사,9.9,"13,050원",2022년 06월 15일,,16,791191043976 ,오늘 밤 세계에서 이 눈물이 사라진다 해도,국내도서,이치조 미사키,/,"12,600원",2022년 07월 28일,,16,9788936434625 ,튜브,소설/시/희곡,손원평,9.2,"13,500원",2022-07-22
17,9788934961574 ,눈물 한 방울,인문,이어령,9.8,"14,220원",2022년06월30일,,17,9791189327156 ,물고기는 존재하지 않는다,자연과학,룰루 밀러,9,"15,300원",2021년 12월 17일,,17,791168411685 ,흔한남매 10,국내도서,"흔한남매,백난도",/,"12,150원",2022년 04월 28일,,17,9791187011590 ,데미안 (오리지널 초판본 표지디자인),소설/시/희곡,헤르만 헤세,9.8,"2,970원",2017-01-01
18,9791191114225 ,작별인사,소설,김영하,9.6,"12,600원",2022년05월02일,,18,9788965422785 ,해커스 토익 기출  VOCA 보카,국어 외국어 사전,데이비드 조,9.6,"11,610원",2020년 03월 05일,,18,791191043723 ,어느 날 내 죽음에 네가 들어왔다,국내도서,세이카료겐,/,"13,500원",2022년 05월 09일,,18,9788956608075 ,삶의 격,인문학,파스칼 메르시어,8.9,"14,400원",2014-10-17
19,9791191043976 ,"오늘 밤, 세계에서 이 눈물이 사라진다 해도",소설,이치조 미사키,9.7,"12,600원",2022년07월28일,,19,9788917238549 ,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 ,국어 외국어 사전,ETS,9.8,"16,020원",2021년 12월 13일,,19,788950903138 ,마법천자문 53-결정을 내려라 결단할 결,국내도서,유대영,/,"12,600원",2022년 07월 12일,,19,9791169271653 ,도쿄 리벤저스 27,만화,와쿠이 켄,10,"5,400원",2022-08-12
20,9791187142560 ,데일 카네기 인간관계론,자기계발,데일 카네기,9.7,"10,350원",2019년10월07일,,20,9788917238532 ,ETS 토익 정기시험 기출문제집 1000 Vol.3 LISTENING 리스닝  ,국어 외국어 사전,ETS,9.6,"16,020원",2021년 12월 13일,,20,791168340541 ,파친코 2-개정판,국내도서,이민진,/,"14,220원",2022년 08월 25일,,20,K812838531,괴수 8호 7 (일러스트 카드 2종 + 스페셜 일러스트 카드 포함 특장판),만화,마츠모토 나오야,9.7,"5,400원",2022-08-30
2022년09월,,,,,,,,,2022년9월,,,,,,,,,2022년 9월,,,,,,,,,2022년9월,,,,,,,
