,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
11,9791191043754,세상의 마지막 기차역(리커버 에디션),소설,무라세 다케시,9.7,"12,600원",2022년05월09일
12,9791192300245,마흔에 읽는 니체(10만 부 양장 리커버 에디션),인문,장재형,9.7,"14,400원",2022년09월01일
13,9791130689890,내가 틀릴 수도 있습니다,인문,비욘 나티코 린데블라드,9.6,"14,400원",2022년04월18일
14,9791187142560,데일 카네기 인간관계론,자기계발,데일 카네기,9.7,"10,350원",2019년10월07일
15,9791190382502,모든 것은 기본에서 시작한다,시/에세이,손웅정,9.8,"14,400원",2021년10월15일
16,9791165346485,천 원을 경영하라,경제/경영,박정부,9.8,"14,400원",2022년12월01일
17,9791168340510,파친코 1,소설,이민진,9.8,"14,220원",2022년08월05일
18,9791191043976,"오늘 밤, 세계에서 이 눈물이 사라진다 해도",소설,이치조 미사키,9.7,"12,600원",2022년07월28일
19,9788934946793,흔한남매 과학 탐험대 6: 물리 2,어린이(초등),흔한남매,9.9,"12,600원",2022년11월22일
20,9791158883591,부자 아빠 가난한 아빠 1(20주년 특별 기념판),경제/경영,로버트 기요사키,9.7,"15,300원",2022년10월28일
2023년01월,,,,,,,
1,9791190538510,만일 내가 인생을 다시 산다면(30만 부 기념 리커버 에디션),인문,김혜남,9.7,"15,480원",2022년11월11일
2,9788997575169,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일
3,9788959897094,트렌드 코리아 2023,경제/경영,김난도,9.5,"17,100원",2022년10월05일
4,9791190382915,생에 감사해,시/에세이,김혜자,9.8,"15,300원",2022년12월22일
5,9791161571188,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일
6,9791191043297,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",소설,이치조 미사키,9.5,"12,600원",2021년06월28일
7,9791161571379,불편한 편의점 2(단풍 에디션),소설,김호연,9.8,"12,600원",2022년08월10일
8,9788936438838,아버지의 해방일지,소설,정지아,9.9,"13,500원",2022년09월02일
9,9791157062805,미스터 프레지던트,정치/사회,탁현민,9.8,"19,800원",2023년01월18일
10,9788954680004,이토록 평범한 미래,소설,김연수,9.6,"12,600원",2022년10월07일
11,9791197647666,기분이 태도가 되지 말자,시/에세이,김수현,9.4,"14,400원",2022년11월25일
12,9791189327156,물고기는 존재하지 않는다,과학,룰루 밀러,9.5,"15,300원",2021년12월17일
13,9791168414471,흔한남매 12,어린이(초등),흔한남매,9.9,"13,050원",2022년11월30일
14,9788965422785,해커스 토익 기출보카 TOEIC VOCA(토익보카) 단어장,외국어,David Cho,9.7,"11,610원",2022년03월14일
15,9791169792974,슬램덩크 챔프,만화,Takehiko Inoue,9.9,"13,500원",2023년01월31일
16,9791187142560,데일 카네기 인간관계론,자기계발,데일 카네기,9.7,"10,350원",2019년10월07일
17,9791130689890,내가 틀릴 수도 있습니다,인문,비욘 나티코 린데블라드,9.6,"14,400원",2022년04월18일
18,9791191891232,머니 트렌드 2023,경제/경영,정태익,9.5,"17,100원",2022년11월15일
19,9788954699914,하얼빈,소설,김훈,9.8,"14,400원",2022년08월03일
20,9788984374546,안젤리크,소설,기욤 뮈소,9.5,"15,120원",2022년12월21일
2023년02월,,,,,,,
1,9791168473690,세이노의 가르침,자기계발,세이노(SayNo),9.3,"6,480원",2023년03월02일
2,9791198013026,이미 늦었다고 생각하는 당신을 위한,자기계발,김미경,9.6,"16,200원",2023년02월15일
3,9788997575169,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일
4,9791190538510,만일 내가 인생을 다시 산다면(30만 부 기념 리커버 에디션),인문,김혜남,9.7,"15,480원",2022년11월11일
5,9791161571188,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일
6,9791169794930,슬램덩크 리소스(THE FIRST SLAM DUNK re:SOURCE),만화,이노우에 타케히코,9.9,"18,000원",2023년02월28일
7,9791197647666,기분이 태도가 되지 말자,시/에세이,김수현,9.4,"14,400원",2022년11월25일
8,9791161571379,불편한 편의점 2(단풍 에디션),소설,김호연,9.8,"12,600원",2022년08월10일
9,9791133487516,슬램덩크 1: 강백호(신장재편판),만화,Takehiko Inoue,9.9,"6,300원",2018년08월31일
10,9791191043297,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",소설,이치조 미사키,9.5,"12,600원",2021년06월28일
11,9788956608556,구의 증명,소설,최진영,9.6,"7,200원",2015년03월30일
12,9791169791526,원피스 104: 와노쿠니 쇼군 코즈키 모모노스케,만화,Eiichiro Oda,10.0,"4,950원",2023년01월31일
13,9791190382915,생에 감사해,시/에세이,김혜자,9.8,"15,300원",2022년12월22일
14,9791169792974,슬램덩크 챔프,만화,Takehiko Inoue,9.9,"13,500원",2023년01월31일
15,9788936438838,아버지의 해방일지,소설,정지아,9.9,"13,500원",2022년09월02일
16,9791158511586,우리는 모두 죽는다는 것을 기억하라,자기계발,웨인 다이어,9.7,"15,300원",2019년11월18일
17,9791197389450,사이토 히토리의,자기계발,사이토 히토리,9.8,"15,300원",2023년01월30일
18,9791157062805,미스터 프레지던트,정치/사회,탁현민,9.8,"19,800원",2023년01월18일
19,9791191521221,K 배터리 레볼루션,경제/경영,박순혁,9.6,"17,100원",2023년02월20일
20,9788960306134,돈은 좋지만 재테크는 겁나는 너에게,경제/경영,뿅글이,9.9,"14,850원",2023년02월01일
2023년03월,,,,,,,
1,9791168473690,세이노의 가르침,자기계발,세이노(SayNo),9.3,"6,480원",2023년03월02일
2,9791169791977,스즈메의 문단속,소설,신카이 마코토,9.7,"11,700원",2023년01월13일
3,9791198013026,이미 늦었다고 생각하는 당신을 위한,자기계발,김미경,9.6,"16,200원",2023년02월15일
4,9788950960667,"살 때, 팔 때, 벌 때",경제/경영,강영현,9.7,"19,800원",2023년02월28일
5,9788997575169,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일
6,9791191521221,K 배터리 레볼루션,경제/경영,박순혁,9.6,"17,100원",2023년02월20일
7,9791161571188,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일
8,9791197389450,사이토 히토리의,자기계발,사이토 히토리,9.8,"15,300원",2023년01월30일
9,9791185701752,나는 대한민국 검사였다,정치/사회,이인규,8.9,"18,000원",2023년03월24일
10,9788956608556,구의 증명,소설,최진영,9.6,"7,200원",2015년03월30일
11,9791188754588,브라질에 비가 내리면 스타벅스 주식을 사라(교보문고 단독 리커버 에디션),경제/경영,피터 나바로,9.7,"16,200원",2022년04월25일
12,9791169794930,슬램덩크 리소스(THE FIRST SLAM DUNK re:SOURCE),만화,이노우에 타케히코,9.9,"18,000원",2023년02월28일
