,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
14,9788965422785 ,해커스 토익 기출  VOCA 보카,국어 외국어 사전,데이비드 조,9.6,"11,610원",2020년 03월 05일
15,9791133487691 ,슬램덩크 신장재편판 19,만화/라이트노벨,이노우에 타케히코,9.9,"6,300원",2018년 11월 14일
16,9791133487684 ,슬램덩크 신장재편판 18,만화/라이트노벨,이노우에 타케히코,9.8,"5,850원",2018년 11월 14일
17,9791133487660 ,슬램덩크 신장재편판 16,만화/라이트노벨,이노우에 타케히코,9.7,"6,300원",2018년 11월 14일
18,9791133487677 ,슬램덩크 신장재편판 17,만화/라이트노벨,이노우에 타케히코,9.7,"6,300원",2018년 11월 14일
19,9791133487578 ,슬램덩크 신장재편판 7,만화/라이트노벨,이노우에 타케히코,9.7,"6,750원",2018년 09월 18일
20,9791133487653 ,슬램덩크 신장재편판 15,만화/라이트노벨,이노우에 타케히코,9.7,"6,750원",2018년 11월 14일
2023년4월,,,,,,,
1,9791168473690 ,세이노의 가르침,자기계발,세이노(SayNo),9.1,"6,480원",2023년 03월 02일
2,9791198013026 ,김미경의 마흔 수업,자기계발,김미경,9.8,"16,200원",2023년 02월 15일
3,9788950960667 ,"살 때, 팔 때, 벌 때",경제 경영,강영현,9.7,"19,800원",2023년 03월 02일
4,9791169791977 ,스즈메의 문단속,소설/시/희곡,신카이 마코토,9.6,"11,700원",2023년 01월 13일
5,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.6,"13,500원",2022년 09월 02일
6,9791197389450 ,1퍼센트 부자의 법칙,자기계발,사이토 히토리,9.6,"15,300원",2023년 01월 30일
7,9791190538510 ,만일 내가 인생을 다시 산다면 (30만 부 기념 스페셜 에디션),인문,김혜남,9.6,"15,480원",2022년 11월 11일
8,9791191521221 ,K 배터리 레볼루션,경제 경영,박순혁,9.5,"17,100원",2023년 02월 20일
9,9788936448370 ,고양이 해결사 깜냥 5,어린이,홍민정,10,"9,900원",2023년 02월 24일
10,9791188754588 ,브라질에 비가 내리면 스타벅스 주식을 사라,경제 경영,피터 나바로,8.9,"16,200원",2022년 04월 25일
11,9791158510619 ,타이탄의 도구들 (블랙 에디션),자기계발,팀 페리스,9.2,"16,200원",2022년 06월 22일
12,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
13,9791198179913 ,설민석의 한국사 대모험 24,어린이,설민석,10,"11,700원",2023년 02월 27일
14,9788997575169 ,원씽 THE ONE THING,자기계발,게리 켈러,9.1,"12,600원",2013년 08월 30일
15,9791168340855 ,내면소통,인문,김주환,9.6,"29,700원",2023년 02월 27일
16,9791188331888 ,사장학개론,경제 경영,김승호,9.6,"22,500원",2023년 04월 19일
17,9791185701752 ,나는 대한민국 검사였다,사회 정치,이인규,7.3,"18,000원",2023년 03월 24일
18,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일
19,9788917238549 ,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 ,국어 외국어 사전,ETS,9.8,"16,020원",2021년 12월 13일
20,9788934944546 ,흔한남매 과학 탐험대 7 생물 1,어린이,흔한남매,10,"12,600원",2023년 03월 15일
2023년5월,,,,,,,
1,9791168473690 ,세이노의 가르침,자기계발,세이노(SayNo),9.1,"6,480원",2023년 03월 02일
2,9791198013026 ,김미경의 마흔 수업,자기계발,김미경,9.8,"16,200원",2023년 02월 15일
3,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
4,9791169791977 ,스즈메의 문단속,소설/시/희곡,신카이 마코토,9.6,"11,700원",2023년 01월 13일
5,9791168415232 ,흔한남매 13,어린이,흔한남매,9.8,"13,050원",2023년 04월 25일
6,9791188331888 ,사장학개론,경제 경영,김승호,9.6,"22,500원",2023년 04월 19일
7,9788960519794 ,장하준의 경제학 레시피,경제 경영,장하준,9.4,"16,200원",2023년 03월 30일
8,9791136099853 ,2023 에듀윌 공인중개사 오시훈 합격서 부동산공법 체계도,수험서 자격증,오시훈,10,"17,100원",2023년 04월 21일
9,9791191891287 ,메리골드 마음 세탁소,소설/시/희곡,윤정은,9.4,"13,500원",2023년 03월 06일
10,9791191043754 ,세상의 마지막 기차역,소설/시/희곡,무라세 다케시,9.6,"12,600원",2022년 05월 11일
11,9791191521221 ,K 배터리 레볼루션,경제 경영,박순혁,9.5,"17,100원",2023년 02월 20일
12,9791168340855 ,내면소통,인문,김주환,9.6,"29,700원",2023년 02월 27일
13,9791130697529 ,거인의 노트,자기계발,김익한,9.6,"16,200원",2023년 03월 08일
14,9788954691741 ,2023 제14회 젊은작가상 수상작품집,소설/시/희곡,이미상,9.3,"6,930원",2023년 04월 05일
15,9791158773120 ,건강과 다이어트를 동시에 잡는 7대 3의 법칙 채소·과일식,건강 취미,조승우,9.5,"17,100원",2022년 10월 20일
16,9791188754588 ,브라질에 비가 내리면 스타벅스 주식을 사라,경제 경영,피터 나바로,8.9,"16,200원",2022년 04월 25일
17,9791160079197 ,우리는 왜 임영웅을 사랑하는가,예술,조위,9.3,"18,000원",2023년 04월 14일
18,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일
19,9788997575169 ,원씽 THE ONE THING,자기계발,게리 켈러,9.1,"12,600원",2013년 08월 30일
20,9791190538510 ,만일 내가 인생을 다시 산다면 (30만 부 기념 스페셜 에디션),인문,김혜남,9.6,"15,480원",2022년 11월 11일
2023년6월,,,,,,,
1,9791168473690 ,세이노의 가르침,자기계발,세이노(SayNo),9.1,"6,480원",2023년 03월 02일
2,9791168415232 ,흔한남매 13,어린이,흔한남매,9.8,"13,050원",2023년 04월 25일
3,9791188331888 ,사장학개론,경제 경영,김승호,9.6,"22,500원",2023년 04월 19일
4,9791190299770 ,모든 삶은 흐른다,인문,로랑스 드빌레르,9.5,"15,120원",2023년 04월 03일
5,9791198013026 ,김미경의 마흔 수업,자기계발,김미경,9.8,"16,200원",2023년 02월 15일
6,9791191891287 ,메리골드 마음 세탁소,소설/시/희곡,윤정은,9.4,"13,500원",2023년 03월 06일
7,9791165347161 ,나의 돈 많은 고등학교 친구,자기계발,송희구,9.6,"16,200원",2023년 04월 28일
8,9791169791977 ,스즈메의 문단속,소설/시/희곡,신카이 마코토,9.6,"11,700원",2023년 01월 13일
9,9791158773120 ,건강과 다이어트를 동시에 잡는 7대 3의 법칙 채소·과일식,건강 취미,조승우,9.5,"17,100원",2022년 10월 20일
10,9791170620563 ,최애의 아이 10 ,만화/라이트노벨,아카사카 아카,9.7,"5,400원",2023년 05월 30일
11,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
12,9791167140609 ,내가 가진 것을 세상이 원하게 하라,자기계발,최인아,9.5,"15,750원",2023년 04월 19일
13,2511868370405 ,주술회전 22 더블특장판,만화/라이트노벨,아쿠타미 게게,9.8,"5,400원",2023년 05월 31일
14,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.6,"13,500원",2022년 09월 02일
15,9791168340855 ,내면소통,인문,김주환,9.6,"29,700원",2023년 02월 27일
16,9788960519794 ,장하준의 경제학 레시피,경제 경영,장하준,9.4,"16,200원",2023년 03월 30일
17,9791191360721 ,이지성의 1만 킬로미터,에세이,이지성,9.8,"16,200원",2023년 04월 20일
18,9791167740984 ,도둑맞은 집중력,인문,요한 하리,9.6,"16,920원",2023년 04월 28일
19,9788997575169 ,원씽 THE ONE THING,자기계발,게리 켈러,9.1,"12,600원",2013년 08월 30일
20,9791188331796 ,돈의 속성 300쇄 리커버,경제 경영,김승호,9.3,"16,020원",2020년 06월 15일
